x,y
3.714165303453724754e-01,0.000000000000000000e+00
1.393362199615424402e-01,0.000000000000000000e+00
-1.155017061710418069e+00,0.000000000000000000e+00
4.473639047377697686e-02,0.000000000000000000e+00
7.855518320932948217e-01,0.000000000000000000e+00
-8.257580535454774884e-01,0.000000000000000000e+00
-3.770770965042161693e-01,0.000000000000000000e+00
9.357118005864317745e-02,0.000000000000000000e+00
-2.058991542094076088e+00,0.000000000000000000e+00
-3.191112527878310789e+00,0.000000000000000000e+00
-2.278608368761469549e+00,0.000000000000000000e+00
-1.905715154413015755e+00,0.000000000000000000e+00
-9.708199353585762470e-01,0.000000000000000000e+00
-1.127039487617372160e+00,0.000000000000000000e+00
-1.308639019657216185e+00,0.000000000000000000e+00
-1.800759765650038258e+00,0.000000000000000000e+00
-2.333506603372536681e+00,0.000000000000000000e+00
-1.300435332256734355e+00,0.000000000000000000e+00
-5.166184683065447869e-01,0.000000000000000000e+00
-7.123777589205448901e-02,0.000000000000000000e+00
-1.680784320147164390e+00,0.000000000000000000e+00
3.328475486730047006e-01,0.000000000000000000e+00
-1.962672608623971637e+00,0.000000000000000000e+00
-7.284081489144016430e-01,0.000000000000000000e+00
-1.967744471395021399e+00,0.000000000000000000e+00
-2.359794251016286148e-01,0.000000000000000000e+00
-1.029746562812172916e+00,0.000000000000000000e+00
-1.653872892286184504e-01,0.000000000000000000e+00
7.571700250589499248e-01,0.000000000000000000e+00
-3.350040517558946496e-01,0.000000000000000000e+00
-1.822110021032143479e+00,0.000000000000000000e+00
-8.155172684574281128e-01,0.000000000000000000e+00
9.169677394176694030e-01,0.000000000000000000e+00
-4.827625640005549501e-01,0.000000000000000000e+00
-8.288267458606434213e-01,0.000000000000000000e+00
-2.111939684893999747e+00,0.000000000000000000e+00
-2.004840233779663805e+00,0.000000000000000000e+00
-3.495095979498981098e-01,0.000000000000000000e+00
-1.323234021817254469e-02,0.000000000000000000e+00
-2.184430997162961630e-01,0.000000000000000000e+00
-2.094264989350532069e+00,0.000000000000000000e+00
-1.283186975329569268e+00,0.000000000000000000e+00
-1.095957037163984626e+00,0.000000000000000000e+00
-1.602110646455605636e+00,0.000000000000000000e+00
4.839511727423129184e-01,0.000000000000000000e+00
-1.363041999969078155e+00,0.000000000000000000e+00
-4.564294130609301003e-01,0.000000000000000000e+00
-6.811679654033647724e-01,0.000000000000000000e+00
-8.802516978675956061e-01,0.000000000000000000e+00
-2.163401823285675540e+00,0.000000000000000000e+00
-3.882687182476143306e-01,0.000000000000000000e+00
3.515765338374832183e-02,0.000000000000000000e+00
-1.554719622239961296e+00,0.000000000000000000e+00
-1.296961500500541264e+00,0.000000000000000000e+00
-1.274685330027137908e+00,0.000000000000000000e+00
-1.322405655802957547e+00,0.000000000000000000e+00
-1.334687993890644186e-01,0.000000000000000000e+00
-9.438530464767082018e-01,0.000000000000000000e+00
-1.516660838950514290e+00,0.000000000000000000e+00
-1.500134607118740471e+00,0.000000000000000000e+00
1.457763453021332367e-01,0.000000000000000000e+00
1.953460128525383865e-01,0.000000000000000000e+00
1.540705687145316194e-01,0.000000000000000000e+00
-1.518868996031955909e+00,0.000000000000000000e+00
-2.152534623336488373e+00,0.000000000000000000e+00
-9.365566676979177885e-01,0.000000000000000000e+00
-1.977128479587590526e+00,0.000000000000000000e+00
-2.371211284925464291e+00,0.000000000000000000e+00
-2.596907697663459746e+00,0.000000000000000000e+00
-1.556022059825546977e+00,0.000000000000000000e+00
-7.702996240436006392e-01,0.000000000000000000e+00
-1.019791300171335235e+00,0.000000000000000000e+00
-9.168515374420563857e-01,0.000000000000000000e+00
-2.568982696096320240e+00,0.000000000000000000e+00
-7.004289523602407197e-01,0.000000000000000000e+00
5.853934324190130933e-01,0.000000000000000000e+00
-7.933692748378005088e-01,0.000000000000000000e+00
-3.052228877814868735e-01,0.000000000000000000e+00
-3.509976015407838545e-01,0.000000000000000000e+00
-6.427172080645715546e-02,0.000000000000000000e+00
-3.535189282508903741e-01,0.000000000000000000e+00
-2.407398268365377625e+00,0.000000000000000000e+00
-2.784871222291378512e-01,0.000000000000000000e+00
1.777410572229245478e-01,0.000000000000000000e+00
-1.881225665333090546e-01,0.000000000000000000e+00
-1.528900629527279342e+00,0.000000000000000000e+00
-8.484692965905913375e-01,0.000000000000000000e+00
-4.163877086353912071e-01,0.000000000000000000e+00
2.600046121906949281e-01,0.000000000000000000e+00
-1.975185688768485992e-01,0.000000000000000000e+00
8.744939470912800328e-01,0.000000000000000000e+00
-2.094002392607694496e+00,0.000000000000000000e+00
1.363057847078562812e+00,0.000000000000000000e+00
-2.144313346956773003e+00,0.000000000000000000e+00
-1.825050770059894578e+00,0.000000000000000000e+00
-3.482348455349482563e+00,0.000000000000000000e+00
-4.301359037379143269e-01,0.000000000000000000e+00
-7.926362318515226546e-01,0.000000000000000000e+00
-1.278310806334915783e+00,0.000000000000000000e+00
7.840631464659784111e-01,0.000000000000000000e+00
-2.010025041388401768e+00,0.000000000000000000e+00
1.064808325004103384e+00,0.000000000000000000e+00
-1.621256963901138937e+00,0.000000000000000000e+00
6.147104855823986025e-01,0.000000000000000000e+00
-9.879187086585901056e-01,0.000000000000000000e+00
-2.433699091365593592e+00,0.000000000000000000e+00
-1.012012741640474278e+00,0.000000000000000000e+00
-3.008273093517002561e+00,0.000000000000000000e+00
-2.049658004507698639e+00,0.000000000000000000e+00
-7.868341671010159466e-02,0.000000000000000000e+00
-1.628808466648147935e+00,0.000000000000000000e+00
-4.544225871808665884e-01,0.000000000000000000e+00
-2.180836966241055386e+00,0.000000000000000000e+00
-6.721643846519108623e-01,0.000000000000000000e+00
-1.937421414471730108e+00,0.000000000000000000e+00
-9.430978778235101778e-01,0.000000000000000000e+00
-3.172997927620463399e-01,0.000000000000000000e+00
-1.949167410294383007e+00,0.000000000000000000e+00
-4.958735822957486272e-01,0.000000000000000000e+00
-9.864954254975579762e-01,0.000000000000000000e+00
1.553965034152970937e-02,0.000000000000000000e+00
-1.069179472748502224e+00,0.000000000000000000e+00
-1.130938868651687912e+00,0.000000000000000000e+00
-7.505145680137538244e-01,0.000000000000000000e+00
-1.854250373966596976e+00,0.000000000000000000e+00
-1.611450252194604138e+00,0.000000000000000000e+00
-3.358773001113838585e+00,0.000000000000000000e+00
-9.820921251265202212e-02,0.000000000000000000e+00
-1.421933542638362802e-01,1.000000000000000000e+00
4.348568582705243379e-01,1.000000000000000000e+00
7.240021103415797965e-01,1.000000000000000000e+00
1.802251927177479951e+00,1.000000000000000000e+00
-2.446179992749895060e-01,1.000000000000000000e+00
1.632483351726341514e-01,1.000000000000000000e+00
2.255447363140220318e+00,1.000000000000000000e+00
1.568563303346967253e+00,1.000000000000000000e+00
7.909512908120779340e-01,1.000000000000000000e+00
-9.121465179573904347e-01,1.000000000000000000e+00
-6.754569205488223371e-01,1.000000000000000000e+00
1.582082424953380695e+00,1.000000000000000000e+00
1.877284783059988582e+00,1.000000000000000000e+00
1.967233549550687632e+00,1.000000000000000000e+00
1.966391015286182320e+00,1.000000000000000000e+00
1.062879961072668911e+00,1.000000000000000000e+00
9.811240065417556888e-01,1.000000000000000000e+00
1.465289882160434765e+00,1.000000000000000000e+00
6.833918614923735202e-01,1.000000000000000000e+00
1.309699158939550134e-01,1.000000000000000000e+00
8.758163583936784402e-01,1.000000000000000000e+00
2.507754280325684704e+00,1.000000000000000000e+00
1.398452114198624585e+00,1.000000000000000000e+00
2.145117556085151644e+00,1.000000000000000000e+00
2.563218244598822970e+00,1.000000000000000000e+00
9.887046371683436696e-01,1.000000000000000000e+00
2.370622561938715123e+00,1.000000000000000000e+00
5.666204571553123959e-02,1.000000000000000000e+00
1.821161526048094448e+00,1.000000000000000000e+00
2.932119027488812257e+00,1.000000000000000000e+00
1.531020955375490544e-01,1.000000000000000000e+00
-1.183345594300077686e+00,1.000000000000000000e+00
-5.846880624092665180e-02,1.000000000000000000e+00
4.987711662183371697e-01,1.000000000000000000e+00
2.064942228579565775e+00,1.000000000000000000e+00
8.620391554856765559e-02,1.000000000000000000e+00
1.277873442165674556e+00,1.000000000000000000e+00
1.511020060318052138e+00,1.000000000000000000e+00
2.734874218490513931e-01,1.000000000000000000e+00
1.497727829418041834e+00,1.000000000000000000e+00
1.429290011589829046e+00,1.000000000000000000e+00
2.644302069617540774e+00,1.000000000000000000e+00
-1.126284387620088090e+00,1.000000000000000000e+00
2.044695533910264817e+00,1.000000000000000000e+00
1.465117375036300018e-01,1.000000000000000000e+00
1.789933821030831984e+00,1.000000000000000000e+00
2.410230253857015281e-01,1.000000000000000000e+00
2.248028023772998374e+00,1.000000000000000000e+00
-3.950217358484908736e-02,1.000000000000000000e+00
